{0,7,6,0,{453,1706,318,271,1958,1051,241,1736,304,518}},
{1,2,9,1,{1067,1364,661,1255,1121,260,270,1235,664,1484}},
{2,0,0,8,{1701,207,1067,480,1825,390,109,243,691,1781}},
{3,4,1,9,{1089,51,1639,815,950,37,1499,23,1547,1494}},
{4,6,9,8,{1622,1239,852,1067,1169,609,640,1063,346,1184}},
{5,3,8,8,{90,959,1979,339,444,1847,856,1259,271,440}},
{6,10,10,1,{945,837,739,965,379,1300,1189,325,1607,263}},
{7,5,4,10,{1553,269,14,34,1203,1846,636,1700,1773,1899}},
{8,0,8,10,{1495,951,841,1372,1674,947,818,1822,370,1763}},
{9,3,2,10,{1852,579,1601,1425,38,121,1547,1310,332,1276}},
{10,7,1,6,{1855,1889,272,1223,179,527,687,918,798,873}},
{11,3,1,1,{858,1118,757,1021,1870,1416,1855,620,459,864}},
{12,8,8,4,{1267,895,457,341,1486,951,757,1916,1489,1617}},
{13,3,4,1,{1777,744,1035,771,1818,110,1285,120,1231,1053}},
{14,7,4,2,{1867,118,260,597,409,501,877,10,155,1119}},
{15,2,1,7,{229,59,1487,119,1949,1258,80,1195,1996,324}},
{16,6,9,5,{803,1532,1665,1250,1647,1292,491,415,91,1520}},
{17,8,8,2,{524,417,656,1330,956,809,1624,1191,1034,1520}},
{18,1,6,10,{164,620,436,1459,396,1921,1543,842,1592,1398}},
{19,0,6,10,{1887,780,1077,1144,1689,680,1988,1288,640,685}},
{20,8,5,7,{1223,1228,17,1528,671,708,1724,207,1366,1465}},
{21,3,6,9,{1597,1687,935,1691,406,201,222,1066,416,1392}},
{22,9,1,3,{216,509,909,1826,1737,390,55,1191,938,1400}},
{23,5,5,10,{1849,125,1851,1520,945,1195,88,721,1230,104}},
{24,7,9,9,{1006,797,207,648,1130,430,1793,1140,1858,693}},
{25,6,6,9,{499,456,1634,768,1005,1743,1622,1051,478,183}},
{26,7,1,1,{110,1968,1989,570,686,520,1074,1996,605,774}},
{27,10,9,8,{941,1748,127,1455,1634,554,628,269,1739,1791}},
{28,3,8,4,{1981,1284,1363,1767,1019,1417,627,605,983,788}},
{29,10,1,3,{576,551,1106,452,1556,1426,804,1830,1607,1635}},
{30,2,10,7,{97,1957,29,1518,1103,382,1286,1326,1109,1317}},
{31,8,3,5,{1526,375,364,450,483,1623,1861,81,569,1867}},
{32,2,1,1,{1311,1016,179,430,1080,1506,1134,1977,1115,1424}},
{33,6,6,5,{122,466,967,1799,910,559,1065,167,632,407}},
{34,8,6,5,{968,1449,1397,303,678,594,309,136,1391,1677}},
{35,2,2,9,{1077,825,1923,1540,59,973,72,481,1535,187}},
{36,6,4,2,{706,1191,26,1338,962,1501,1073,1724,1012,1708}},
{37,8,10,10,{616,1808,548,150,1953,1232,1691,1066,1093,170}},
{38,8,3,1,{77,476,1834,808,1911,563,388,366,250,415}},
{39,1,0,5,{1562,1819,83,553,246,1981,933,292,909,417}},
{40,7,9,4,{1463,239,1334,865,864,1741,1954,443,49,139}},
{41,10,0,5,{341,918,682,1631,1326,683,710,540,1598,1043}},
{42,1,6,4,{1020,1387,203,620,1100,994,623,174,967,1038}},
{43,8,6,10,{87,228,1336,1542,523,1233,1203,1399,1465,243}},
{44,3,4,1,{824,1151,588,806,1611,653,1392,204,1644,1543}},
{45,3,0,6,{427,1376,798,1783,392,710,80,1236,1863,815}},
{46,1,1,1,{607,1778,986,1465,415,1915,811,1079,1715,645}},
{47,6,10,0,{1847,47,278,1477,1099,176,1775,942,739,886}},
{48,2,0,8,{560,442,1099,996,650,1397,1825,774,1128,1148}},
{49,6,6,10,{1000,1820,1297,238,814,1034,749,1257,1921,1577}},
{50,8,6,8,{1693,799,910,1597,848,1415,1991,1682,651,623}},
{51,3,0,6,{889,1195,327,641,1351,305,1253,566,1403,580}},
{52,10,1,0,{184,1092,1130,1581,151,1234,1338,255,583,1109}},
{53,1,10,4,{61,189,1247,1722,1769,840,1858,966,442,20}},
{54,0,8,4,{662,747,322,848,1544,1719,1412,528,1884,255}},
{55,3,7,2,{284,1296,1079,862,1539,1680,1340,562,963,1251}},
{56,2,5,10,{1265,391,373,1685,1178,1550,108,1308,1701,1060}},
{57,10,6,8,{911,943,1157,784,603,1490,1440,1214,572,1605}},
{58,4,9,7,{54,194,1977,911,5,467,623,846,179,1318}},
{59,7,10,5,{587,39,364,61,1157,243,869,183,840,1700}},
{60,7,8,7,{1611,694,968,975,1277,359,116,1367,1130,255}},
{61,4,4,8,{1615,1095,237,190,53,1264,1467,1509,1984,1675}},
{62,10,7,0,{1529,306,1585,730,1556,1331,651,999,376,802}},
{63,7,4,1,{1865,1615,910,1869,1820,416,108,850,1536,809}},
{64,5,1,9,{282,36,1497,1041,1739,1133,784,767,478,1261}},
{65,9,8,9,{450,810,1571,1337,1050,1520,168,1486,890,353}},
{66,3,8,8,{519,817,1709,1108,1481,635,364,152,1201,574}},
{67,10,1,0,{1867,1539,1762,1355,128,362,1461,1926,704,559}},
{68,1,0,3,{115,364,982,1125,216,1694,760,606,988,1673}},
{69,6,9,2,{895,1935,979,1537,132,1665,1607,342,1746,1552}},
{70,9,5,4,{148,888,35,1899,677,662,1698,592,1753,866}},
{71,7,7,10,{1610,1324,588,1206,1739,1644,1761,971,76,845}},
{72,6,4,7,{895,1349,363,127,1722,1724,586,1761,1055,243}},
{73,10,10,9,{793,1620,1246,1706,1444,1809,16,1424,856,1257}},
{74,2,3,7,{1028,16,1790,1960,1630,273,878,1479,208,587}},
{75,8,1,8,{1394,952,1635,1504,1296,782,1455,1104,1716,345}},
{76,2,10,1,{974,815,1504,335,1249,1391,1059,105,311,1681}},
{77,7,2,7,{1149,1766,57,1765,842,1790,2,372,611,970}},
{78,2,1,4,{143,1463,1712,1607,969,1097,1531,1350,174,1277}},
{79,2,8,3,{1596,731,1217,1955,181,958,1366,236,985,1470}},
{80,10,2,4,{1952,1739,605,826,1567,621,1,1207,1077,195}},
{81,3,3,7,{1756,1069,943,619,1368,1774,502,569,66,1780}},
{82,4,2,4,{1939,139,357,1096,922,1523,1149,1377,1768,1032}},
{83,2,10,0,{1356,1380,1669,1334,343,534,1210,769,1739,995}},
{84,9,9,10,{1317,576,7,518,742,1267,895,901,920,64}},
{85,9,8,7,{1847,436,405,1231,1388,202,463,1610,1623,853}},
{86,1,9,10,{558,1065,224,1320,1060,660,1334,436,642,1936}},
{87,2,7,9,{864,642,645,988,262,1863,1008,1285,231,744}},
{88,8,3,6,{194,1009,1910,1425,1203,893,317,319,1163,1381}},
{89,1,10,9,{256,1772,159,1535,1167,798,823,898,246,160}},
{90,0,9,4,{1204,1329,756,32,35,1521,181,1944,1295,1079}},
{91,10,8,8,{1576,1953,405,374,835,1646,402,1278,1040,1830}},
{92,2,5,3,{31,1048,1131,1656,966,683,1600,1530,1305,418}},
{93,5,5,0,{665,1659,1469,720,869,820,170,1482,83,1661}},
{94,8,2,0,{876,1233,979,987,896,723,1258,221,333,1585}},
{95,8,8,4,{1996,650,533,413,1011,1939,1805,458,1979,221}},
