{0,10,8,10},
{1,5,3,1},
{2,7,0,6},
{3,0,6,0},
{4,3,7,1},
{5,5,1,4},
{6,2,7,8},
{7,9,0,1},
{8,7,1,0},
{9,2,8,6},
{10,6,8,0},
{11,2,9,8},
{12,3,1,3},
{13,7,10,1},
{14,9,3,4},
{15,3,10,5},
{16,6,9,10},
{17,6,5,2},
{18,3,3,0},
{19,7,4,5},
{20,1,2,7},
{21,7,8,0},
{22,10,0,8},
{23,6,3,8},
{24,10,9,9},
{25,8,10,9},
{26,9,10,8},
{27,7,9,0},
{28,10,1,10},
{29,3,7,0},
{30,1,1,10},
{31,2,10,10},
{32,1,9,5},
{33,9,4,0},
{34,5,5,6},
{35,6,2,5},
{36,7,6,8},
{37,4,4,8},
{38,10,6,2},
{39,9,2,2},
{40,2,5,7},
{41,8,1,4},
{42,6,0,10},
{43,1,3,9},
{44,5,5,7},
{45,3,10,10},
{46,7,3,5},
{47,4,2,5},
{48,2,4,7},
{49,4,6,7},
{50,5,5,2},
{51,9,3,1},
{52,8,1,3},
{53,8,10,10},
{54,3,10,0},
{55,1,4,1},
{56,0,6,4},
{57,0,5,8},
{58,9,9,1},
{59,1,4,3},
{60,8,7,3},
{61,1,8,4},
{62,10,6,8},
{63,4,7,5},
{64,5,7,7},
{65,4,1,10},
{66,8,0,10},
{67,5,8,4},
{68,3,7,7},
{69,9,4,10},
{70,8,8,2},
{71,10,3,9},
{72,3,5,4},
{73,0,0,1},
{74,2,7,10},
{75,8,5,8},
{76,5,5,2},
{77,3,0,4},
{78,0,4,3},
{79,6,9,6},
{80,7,10,4},
{81,1,0,0},
{82,1,9,6},
{83,4,2,3},
{84,6,1,8},
{85,2,1,4},
{86,6,6,1},
{87,2,6,7},
{88,7,1,8},
{89,8,10,9},
{90,2,5,8},
{91,6,7,2},
{92,8,10,10},
{93,4,10,0},
{94,10,4,10},
{95,6,3,3},
{96,2,1,10},
{97,8,2,5},
{98,7,4,9},
{99,10,2,3},
{100,1,6,10},
{101,10,9,6},
{102,0,6,3},
{103,0,7,3},
{104,9,7,7},
{105,6,10,1},
{106,8,1,8},
{107,8,5,5},
{108,6,2,5},
{109,10,4,6},
{110,5,9,3},
{111,3,7,4},
{112,10,5,0},
{113,7,10,6},
{114,8,10,2},
{115,5,3,9},
{116,0,3,4},
{117,3,5,0},
{118,1,9,2},
{119,6,6,5},
{120,5,10,10},
{121,3,8,10},
{122,9,1,9},
{123,5,7,0},
{124,4,6,10},
{125,7,10,8},
{126,3,10,8},
{127,4,1,4},
{128,7,7,10},
{129,0,1,5},
{130,6,2,9},
{131,10,4,3},
{132,5,7,0},
{133,9,7,0},
{134,3,0,2},
{135,10,0,4},
{136,4,6,2},
{137,7,9,8},
{138,1,1,4},
{139,2,6,7},
{140,7,5,2},
{141,0,8,4},
{142,9,8,2},
{143,1,4,6},
{144,0,1,4},
{145,1,5,1},
{146,5,4,6},
{147,9,2,1},
{148,1,0,5},
{149,3,4,1},
{150,10,10,5},
{151,6,8,3},
{152,2,1,3},
{153,5,8,1},
{154,2,2,0},
{155,2,8,7},
{156,4,3,5},
{157,8,1,10},
{158,4,8,8},
{159,9,10,8},
{160,5,8,4},
{161,7,5,8},
{162,1,9,4},
{163,3,2,3},
{164,3,8,0},
{165,9,0,4},
{166,5,1,10},
{167,6,9,5},
{168,4,1,9},
{169,7,5,3},
{170,2,3,3},
{171,9,5,9},
{172,3,1,10},
{173,2,9,2},
{174,5,9,0},
{175,9,5,5},
{176,7,1,3},
{177,9,1,7},
{178,10,10,5},
{179,1,7,0},
{180,3,4,2},
{181,2,2,4},
{182,0,0,6},
{183,2,7,10},
{184,7,5,1},
{185,1,6,1},
{186,1,3,7},
{187,0,0,9},
{188,4,3,9},
{189,9,5,10},
{190,8,5,7},
{191,8,6,0},
{192,2,3,0},
{193,3,7,0},
{194,0,10,9},
{195,6,4,1},
{196,4,6,3},
{197,5,9,6},
{198,3,7,5},
{199,0,4,1},
{200,8,4,1},
{201,8,8,2},
{202,5,9,2},
{203,7,0,0},
{204,8,7,4},
{205,10,4,0},
{206,3,2,10},
{207,8,3,3},
{208,9,9,2},
{209,10,3,10},
{210,5,0,1},
{211,8,8,4},
{212,4,9,0},
{213,3,9,5},
{214,3,0,5},
{215,6,3,10},
{216,2,4,1},
{217,4,2,6},
{218,8,9,8},
{219,5,8,7},
{220,9,0,4},
{221,10,2,4},
{222,4,8,7},
{223,2,1,3},
{224,0,6,2},
{225,3,9,2},
{226,2,1,1},
{227,10,3,9},
{228,5,9,6},
{229,7,0,9},
{230,10,10,3},
{231,9,9,3},
{232,1,2,8},
{233,1,3,6},
{234,9,10,7},
{235,9,2,2},
{236,7,3,3},
{237,3,6,0},
{238,9,5,5},
{239,3,1,3},
{240,4,7,10},
{241,3,2,5},
{242,0,4,9},
{243,4,10,3},
{244,2,10,7},
{245,1,9,6},
{246,3,9,8},
{247,9,2,10},
{248,4,4,4},
{249,4,9,8},
{250,10,7,2},
{251,3,7,7},
{252,7,4,5},
{253,0,2,3},
{254,1,0,9},
{255,7,9,0},
{256,8,8,5},
{257,10,8,4},
{258,2,4,4},
{259,5,7,3},
{260,1,0,2},
{261,3,3,2},
{262,7,5,4},
{263,3,9,0},
{264,2,10,2},
{265,3,1,0},
{266,5,3,6},
{267,8,2,10},
{268,3,1,9},
{269,5,4,0},
{270,1,2,10},
{271,8,6,5},
{272,0,2,7},
{273,5,1,4},
{274,2,6,3},
{275,2,0,2},
{276,8,1,2},
{277,9,9,1},
{278,6,2,5},
{279,5,0,7},
{280,5,4,1},
{281,3,7,3},
{282,8,8,2},
{283,7,0,8},
{284,1,10,7},
{285,6,9,8},
{286,7,2,0},
{287,0,0,8},
{288,1,9,9},
{289,4,0,6},
{290,7,3,9},
{291,9,10,0},
{292,7,4,7},
{293,8,1,10},
{294,4,1,3},
{295,5,0,7},
{296,8,9,4},
{297,9,9,4},
{298,9,7,9},
{299,6,10,5},
{300,4,9,0},
{301,2,6,2},
{302,4,0,3},
{303,5,10,9},
{304,6,4,2},
{305,7,2,4},
{306,3,7,3},
{307,3,6,5},
{308,7,3,8},
{309,4,4,8},
{310,8,3,10},
{311,5,0,1},
{312,8,6,10},
{313,5,8,7},
{314,10,0,4},
{315,8,2,2},
{316,4,5,4},
{317,1,5,3},
{318,5,9,0},
{319,2,1,0},
{320,3,2,8},
{321,7,4,10},
{322,1,7,10},
{323,2,1,7},
{324,2,6,3},
{325,0,1,3},
{326,0,5,1},
{327,5,8,10},
{328,5,6,9},
{329,3,8,6},
{330,0,3,6},
{331,1,9,9},
{332,6,7,0},
{333,0,10,7},
{334,7,10,4},
{335,5,0,4},
{336,3,8,1},
{337,5,2,1},
{338,2,8,1},
{339,6,0,8},
{340,10,2,6},
{341,9,2,2},
{342,1,7,4},
{343,7,8,0},
{344,5,1,10},
